airline,src_iata,src_city,src_country,src_latitude,src_longitude,dst_iata,dst_city,dst_country,dst_latitude,dst_longitude,distance_km,route_key
U2,SSH,Sharm El Sheikh,Egypt,27.9773006439,34.3950004578,MXP,Milano,Italy,45.6306,8.72811,2988.673658456471,SSH → MXP
TK,TEQ,Çorlu,Turkey,41.13819885253906,27.91909980773925,ESB,Ankara,Turkey,40.1281013489,32.995098114,442.745614436266,TEQ → ESB
8L,KMG,Kunming,China,25.1019444,102.9291667,XNN,Xining,China,36.5275,102.042999,1273.259903659907,KMG → XNN
JL,KIX,Osaka,Japan,34.42729949951172,135.2440032958984,NKG,Nanjing,China,31.74200057983398,118.8619995117188,1553.34388257602,KIX → NKG
DL,COD,Cody,United States,44.520198822,-109.024002075,SLC,Salt Lake City,United States,40.78839874267578,-111.9779968261719,480.0714479044872,COD → SLC
E2,FNA,Freetown,Sierra Leone,8.61644,-13.1955,DKR,Dakar,Senegal,14.73970031738281,-17.49020004272461,825.8702598369771,FNA → DKR
HU,TYN,Taiyuan,China,37.74689865112305,112.6279983520508,HGH,Hangzhou,China,30.22949981689453,120.4339981079102,1102.122500701777,TYN → HGH
MU,TYN,Taiyuan,China,37.74689865112305,112.6279983520508,WUH,Wuhan,China,30.7838,114.208,787.7180141257347,TYN → WUH
OS,SOF,Sofia,Bulgaria,42.69669342041016,23.41143608093262,VIE,Vienna,Austria,48.110298156738,16.569700241089,804.1328861092207,SOF → VIE
Y4,GDL,Guadalajara,Mexico,20.52179908752441,-103.3109970092773,MXL,Mexicali,Mexico,32.6306,-115.241997,1791.768323109182,GDL → MXL
UA,DFW,Dallas-Fort Worth,United States,32.896801,-97.038002,EWR,Newark,United States,40.69250106811523,-74.168701171875,2204.790140677079,DFW → EWR
TP,LIS,Lisbon,Portugal,38.7813,-9.13592,BOD,Bordeaux,France,44.8283004761,-0.715556025505,968.1456224621402,LIS → BOD
US,MSY,New Orleans,United States,29.99340057373047,-90.25800323486328,DFW,Dallas-Fort Worth,United States,32.896801,-97.038002,719.4399852682249,MSY → DFW
K6,REP,Siem-reap,Cambodia,13.4106998444,103.81300354,BKK,Bangkok,Thailand,13.6810998916626,100.7470016479492,332.7987154194963,REP → BKK
JJ,CUZ,Cuzco,Peru,-13.5356998444,-71.9387969971,JUL,Juliaca,Peru,-15.46710014343262,-70.158203125,287.8568246119709,CUZ → JUL
